"featureFlag","ref","type","baseWeapon","baseMods","supportedAttachments","lootTags","tier","pingCommsAction","fakeAmmoIcon","icon","pickupModel","skinOverride","attachSound","pickupSound_1p","pickupSound_3p","carrySound","pickupString","desc","countPerDrop","inventorySlotCount","netInt","passive","minPVPCurrency","maxPVPCurrency","scrapValue","droppodRotate","conditional","isDynamic","pretendsToBeBlank"
"","mp_weapon_lstar_whiteset","main_weapon","mp_weapon_lstar","optic_cq_hcog_classic  stock_tactical_l1 energy_mag_l1","sight grip mag","lmg whiteset",1,"PING_WEAPON_LSTAR","rui/hud/gametype_icons/survival/sur_ammo_lstar","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_lstar_blueset","main_weapon","mp_weapon_lstar","optic_cq_hcog_bruiser stock_tactical_l2 energy_mag_l2","sight grip mag","lmg blueset",2,"PING_WEAPON_LSTAR","rui/hud/gametype_icons/survival/sur_ammo_lstar","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_lstar_purpleset","main_weapon","mp_weapon_lstar","optic_cq_hcog_bruiser stock_tactical_l3 energy_mag_l3","sight grip mag hopup","lmg purpleset",3,"PING_WEAPON_LSTAR","rui/hud/gametype_icons/survival/sur_ammo_lstar","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_energy_ar","main_weapon","","","sight mag grip hopup","assault",1,"PING_WEAPON_ENERGY_AR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_energy_ar_whiteset","main_weapon","mp_weapon_energy_ar","optic_cq_hcog_classic energy_mag_l1 stock_tactical_l1","sight mag grip","assault whiteset",1,"PING_WEAPON_ENERGY_AR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_energy_ar_blueset","main_weapon","mp_weapon_energy_ar","optic_cq_hcog_bruiser energy_mag_l2 stock_tactical_l2","sight mag grip","assault blueset",2,"PING_WEAPON_ENERGY_AR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_energy_ar_purpleset","main_weapon","mp_weapon_energy_ar","optic_cq_hcog_bruiser energy_mag_l3 stock_tactical_l3","sight mag grip hopup","assault purpleset",3,"PING_WEAPON_ENERGY_AR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_energy_ar_gold","main_weapon","mp_weapon_energy_ar","optic_cq_hcog_bruiser energy_mag_l4 stock_tactical_l3 gold","sight mag grip hopup","assault",4,"PING_WEAPON_ENERGY_AR","","","",0,"","survival_loot_pickup_weapon_lstar","survival_loot_pickup_3p_weapon_lstar","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_esaw","main_weapon","","","sight mag barrel grip hopup","lmg",1,"PING_WEAPON_DEVOTION","","","",0,"","survival_loot_pickup_weapon_esaw","survival_loot_pickup_3p_weapon_esaw","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_esaw_whiteset","main_weapon","mp_weapon_esaw","optic_cq_hcog_classic energy_mag_l1 barrel_stabilizer_l1 stock_tactical_l1","sight mag barrel grip","lmg whiteset",1,"PING_WEAPON_DEVOTION","","","",0,"","survival_loot_pickup_weapon_esaw","survival_loot_pickup_3p_weapon_esaw","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_esaw_blueset","main_weapon","mp_weapon_esaw","optic_cq_hcog_bruiser energy_mag_l2 barrel_stabilizer_l2 stock_tactical_l2","sight mag barrel grip","lmg blueset",2,"PING_WEAPON_DEVOTION","","","",0,"","survival_loot_pickup_weapon_esaw","survival_loot_pickup_3p_weapon_esaw","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_esaw_purpleset","main_weapon","mp_weapon_esaw","optic_cq_hcog_bruiser energy_mag_l3 barrel_stabilizer_l3 stock_tactical_l3","sight mag barrel grip hopup","lmg purpleset",3,"PING_WEAPON_DEVOTION","","","",0,"","survival_loot_pickup_weapon_esaw","survival_loot_pickup_3p_weapon_esaw","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_esaw_gold","main_weapon","mp_weapon_esaw","hopup_turbocharger optic_cq_hcog_bruiser energy_mag_l4 barrel_stabilizer_l3 stock_tactical_l3 gold","sight mag barrel grip hopup","lmg",4,"PING_WEAPON_DEVOTION","","","",0,"","survival_loot_pickup_weapon_esaw","survival_loot_pickup_3p_weapon_esaw","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_doubletake","main_weapon","","","sight mag grip","marksman",1,"PING_WEAPON_TRIPLETAKE","","","",0,"","survival_loot_pickup_weapon_doubletake","survival_loot_pickup_3p_weapon_doubletake","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_doubletake_whiteset","main_weapon","mp_weapon_doubletake","optic_cq_hcog_bruiser energy_mag_l1 stock_sniper_l1","sight mag grip","marksman whiteset",1,"PING_WEAPON_TRIPLETAKE","","","",0,"","survival_loot_pickup_weapon_doubletake","survival_loot_pickup_3p_weapon_doubletake","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_doubletake_blueset","main_weapon","mp_weapon_doubletake","optic_ranged_aog_variable energy_mag_l2 stock_sniper_l2","sight mag grip","marksman blueset",2,"PING_WEAPON_TRIPLETAKE","","","",0,"","survival_loot_pickup_weapon_doubletake","survival_loot_pickup_3p_weapon_doubletake","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_doubletake_purpleset","main_weapon","mp_weapon_doubletake","optic_ranged_aog_variable energy_mag_l3 stock_sniper_l3","sight mag grip","marksman purpleset",3,"PING_WEAPON_TRIPLETAKE","","","",0,"","survival_loot_pickup_weapon_doubletake","survival_loot_pickup_3p_weapon_doubletake","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_doubletake_gold","main_weapon","mp_weapon_doubletake","optic_ranged_aog_variable energy_mag_l4 stock_sniper_l3 gold","sight mag grip","marksman",4,"PING_WEAPON_TRIPLETAKE","","","",0,"","survival_loot_pickup_weapon_doubletake","survival_loot_pickup_3p_weapon_doubletake","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_vinson","main_weapon","","","sight mag grip","assault",1,"PING_WEAPON_FLATLINE","","","",0,"","survival_loot_pickup_weapon_vinson","survival_loot_pickup_3p_weapon_vinson","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_vinson_whiteset","main_weapon","mp_weapon_vinson","optic_cq_hcog_classic highcal_mag_l1 stock_tactical_l1","sight mag grip","assault whiteset",1,"PING_WEAPON_FLATLINE","","","",0,"","survival_loot_pickup_weapon_vinson","survival_loot_pickup_3p_weapon_vinson","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_vinson_blueset","main_weapon","mp_weapon_vinson","optic_cq_hcog_bruiser highcal_mag_l2 stock_tactical_l2","sight mag grip","assault blueset",2,"PING_WEAPON_FLATLINE","","","",0,"","survival_loot_pickup_weapon_vinson","survival_loot_pickup_3p_weapon_vinson","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_vinson_purpleset","main_weapon","mp_weapon_vinson","optic_cq_hcog_bruiser highcal_mag_l3 stock_tactical_l3","sight mag grip","assault purpleset",3,"PING_WEAPON_FLATLINE","","","",0,"","survival_loot_pickup_weapon_vinson","survival_loot_pickup_3p_weapon_vinson","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_vinson_gold","main_weapon","mp_weapon_vinson","optic_cq_hcog_bruiser highcal_mag_l4 stock_tactical_l3 gold","sight mag grip","assault",4,"PING_WEAPON_FLATLINE","","","",0,"","survival_loot_pickup_weapon_vinson","survival_loot_pickup_3p_weapon_vinson","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_hemlok","main_weapon","","","sight mag barrel grip","assault",1,"PING_WEAPON_HEMLOK","rui/hud/gametype_icons/survival/sur_ammo_heavy","","",0,"","survival_loot_pickup_weapon_hemlok","survival_loot_pickup_3p_weapon_hemlok","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_hemlok_whiteset","main_weapon","mp_weapon_hemlok","optic_cq_hcog_classic highcal_mag_l1 barrel_stabilizer_l1 stock_tactical_l1","sight mag barrel grip","assault whiteset",1,"PING_WEAPON_HEMLOK","rui/hud/gametype_icons/survival/sur_ammo_heavy","","",0,"","survival_loot_pickup_weapon_hemlok","survival_loot_pickup_3p_weapon_hemlok","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_hemlok_blueset","main_weapon","mp_weapon_hemlok","optic_cq_hcog_bruiser highcal_mag_l1 barrel_stabilizer_l1 stock_tactical_l1","sight mag barrel grip","assault blueset",2,"PING_WEAPON_HEMLOK","rui/hud/gametype_icons/survival/sur_ammo_heavy","","",0,"","survival_loot_pickup_weapon_hemlok","survival_loot_pickup_3p_weapon_hemlok","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_hemlok_purpleset","main_weapon","mp_weapon_hemlok","optic_cq_hcog_bruiser highcal_mag_l3 barrel_stabilizer_l3 stock_tactical_l3","sight mag barrel grip","assault purpleset",3,"PING_WEAPON_HEMLOK","rui/hud/gametype_icons/survival/sur_ammo_heavy","","",0,"","survival_loot_pickup_weapon_hemlok","survival_loot_pickup_3p_weapon_hemlok","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_hemlok_gold","main_weapon","mp_weapon_hemlok","optic_cq_hcog_bruiser highcal_mag_l4 barrel_stabilizer_l3 stock_tactical_l3 gold","sight mag barrel grip","assault",4,"PING_WEAPON_HEMLOK","rui/hud/gametype_icons/survival/sur_ammo_heavy","","",0,"","survival_loot_pickup_weapon_hemlok","survival_loot_pickup_3p_weapon_hemlok","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_g2","main_weapon","","","sight mag barrel grip","marksman",1,"PING_WEAPON_G7","","","",0,"","survival_loot_pickup_weapon_g2","survival_loot_pickup_3p_weapon_g2","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_g2_whiteset","main_weapon","mp_weapon_g2","optic_cq_hcog_classic bullets_mag_l1 barrel_stabilizer_l1 stock_sniper_l1","sight mag barrel grip","marksman whiteset",1,"PING_WEAPON_G7","","","",0,"","survival_loot_pickup_weapon_g2","survival_loot_pickup_3p_weapon_g2","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_g2_blueset","main_weapon","mp_weapon_g2","optic_cq_hcog_bruiser bullets_mag_l2 barrel_stabilizer_l2 stock_sniper_l2","sight mag barrel grip","marksman blueset",2,"PING_WEAPON_G7","","","",0,"","survival_loot_pickup_weapon_g2","survival_loot_pickup_3p_weapon_g2","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_g2_purpleset","main_weapon","mp_weapon_g2","optic_ranged_aog_variable bullets_mag_l3 barrel_stabilizer_l3 stock_sniper_l3","sight mag barrel grip hopup","marksman purpleset",3,"PING_WEAPON_G7","","","",0,"","survival_loot_pickup_weapon_g2","survival_loot_pickup_3p_weapon_g2","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_g2_gold","main_weapon","mp_weapon_g2","optic_ranged_aog_variable bullets_mag_l4 barrel_stabilizer_l3 stock_sniper_l3 gold","sight mag barrel grip","marksman",4,"PING_WEAPON_G7","","","",0,"","survival_loot_pickup_weapon_g2","survival_loot_pickup_3p_weapon_g2","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_alternator_smg","main_weapon","","","sight mag barrel grip hopup","smg",1,"PING_WEAPON_ALTERNATOR","","","",0,"","survival_loot_pickup_weapon_alternator_smg","survival_loot_pickup_3p_weapon_alternator_smg","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_alternator_smg_whiteset","main_weapon","mp_weapon_alternator_smg","optic_cq_hcog_classic bullets_mag_l1 laser_sight_l1 stock_tactical_l1","sight mag barrel grip","smg whiteset",1,"PING_WEAPON_ALTERNATOR","","","",0,"","survival_loot_pickup_weapon_alternator_smg","survival_loot_pickup_3p_weapon_alternator_smg","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_alternator_smg_blueset","main_weapon","mp_weapon_alternator_smg","optic_cq_hcog_classic bullets_mag_l2 laser_sight_l2 stock_tactical_l2","sight mag barrel grip","smg blueset",2,"PING_WEAPON_ALTERNATOR","","","",0,"","survival_loot_pickup_weapon_alternator_smg","survival_loot_pickup_3p_weapon_alternator_smg","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_alternator_smg_purpleset","main_weapon","mp_weapon_alternator_smg","optic_cq_hcog_classic bullets_mag_l3 laser_sight_l3 stock_tactical_l3","sight mag barrel grip","smg purpleset",3,"PING_WEAPON_ALTERNATOR","","","",0,"","survival_loot_pickup_weapon_alternator_smg","survival_loot_pickup_3p_weapon_alternator_smg","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_alternator_smg_gold","main_weapon","mp_weapon_alternator_smg","optic_cq_threat bullets_mag_l4 laser_sight_l3 stock_tactical_l3 hopup_shield_breaker gold","sight mag barrel grip hopup","smg",4,"PING_WEAPON_ALTERNATOR","","","",0,"","survival_loot_pickup_weapon_alternator_smg","survival_loot_pickup_3p_weapon_alternator_smg","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_r97","main_weapon","","","sight mag barrel grip","smg",1,"PING_WEAPON_R97","","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_r97_whiteset","main_weapon","mp_weapon_r97","optic_cq_hcog_classic bullets_mag_l1 laser_sight_l1 stock_tactical_l1","sight mag barrel grip","smg whiteset",1,"PING_WEAPON_R97","","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_r97_blueset","main_weapon","mp_weapon_r97","optic_cq_hcog_classic bullets_mag_l2 laser_sight_l2 stock_tactical_l2","sight mag barrel grip","smg blueset",2,"PING_WEAPON_R97","","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_r97_purpleset","main_weapon","mp_weapon_r97","optic_cq_hcog_classic bullets_mag_l3 laser_sight_l3 stock_tactical_l3","sight mag barrel grip","smg purpleset",3,"PING_WEAPON_R97","","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_r97_gold","main_weapon","mp_weapon_r97","optic_cq_threat bullets_mag_l4 laser_sight_l3 stock_tactical_l3 gold","sight mag barrel grip","smg",4,"PING_WEAPON_R97","","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_pdw","main_weapon","mp_weapon_pdw","","sight mag hopup grip","smg",1,"PING_WEAPON_PROWLER","rui/hud/gametype_icons/survival/sur_ammo_heavy","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_pdw_whiteset","main_weapon","mp_weapon_pdw","optic_cq_hcog_classic highcal_mag_l1 laser_sight_l1 stock_tactical_l1","sight mag barrel grip","smg whiteset",1,"PING_WEAPON_PROWLER","","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_pdw_blueset","main_weapon","mp_weapon_pdw","optic_cq_hcog_classic highcal_mag_l2 laser_sight_l2 stock_tactical_l2","sight mag barrel grip","smg blueset",2,"PING_WEAPON_PROWLER","","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_pdw_purpleset","main_weapon","mp_weapon_pdw","optic_cq_threat highcal_mag_l3 laser_sight_l3 stock_tactical_l3","sight mag barrel grip","smg purpleset",3,"PING_WEAPON_PROWLER","","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_pdw_gold","main_weapon","mp_weapon_pdw","optic_cq_threat highcal_mag_l4 laser_sight_l3 stock_tactical_l3 gold","sight mag barrel grip","smg",4,"PING_WEAPON_PROWLER","","","",0,"","survival_loot_pickup_weapon_r97","survival_loot_pickup_3p_weapon_r97","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_dmr","main_weapon","","","sight mag barrel grip hopup","sniper",1,"PING_WEAPON_DMR","","","",0,"","survival_loot_pickup_weapon_dmr","survival_loot_pickup_3p_weapon_dmr","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_dmr_whiteset","main_weapon","mp_weapon_dmr","optic_cq_hcog_bruiser sniper_mag_l1 barrel_stabilizer_l1 stock_sniper_l1","sight mag barrel grip","sniper whiteset",1,"PING_WEAPON_DMR","","","",0,"","survival_loot_pickup_weapon_dmr","survival_loot_pickup_3p_weapon_dmr","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_dmr_blueset","main_weapon","mp_weapon_dmr","optic_ranged_aog_variable sniper_mag_l2 barrel_stabilizer_l2 stock_sniper_l2","sight mag barrel grip","sniper blueset",2,"PING_WEAPON_DMR","","","",0,"","survival_loot_pickup_weapon_dmr","survival_loot_pickup_3p_weapon_dmr","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_dmr_purpleset","main_weapon","mp_weapon_dmr","optic_ranged_aog_variable sniper_mag_l3 barrel_stabilizer_l3 stock_sniper_l3","sight mag barrel grip hopup","sniper purpleset",3,"PING_WEAPON_DMR","","","",0,"","survival_loot_pickup_weapon_dmr","survival_loot_pickup_3p_weapon_dmr","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_dmr_gold","main_weapon","mp_weapon_dmr","hopup_headshot_dmg optic_sniper_threat sniper_mag_l4 barrel_stabilizer_l3 stock_sniper_l3 gold","sight mag barrel grip hopup","sniper",4,"PING_WEAPON_DMR","","","",0,"","survival_loot_pickup_weapon_dmr","survival_loot_pickup_3p_weapon_dmr","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_defender","main_weapon","","","sight mag grip","sniper",1,"PING_WEAPON_DEFENDER","","","",0,"","survival_loot_pickup_weapon_dmr","survival_loot_pickup_3p_weapon_dmr","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_defender_whiteset","main_weapon","mp_weapon_defender","optic_cq_hcog_bruiser stock_sniper_l1","sight grip","sniper whiteset",1,"PING_WEAPON_DEFENDER","","","",0,"","survival_loot_pickup_weapon_dmr","survival_loot_pickup_3p_weapon_dmr","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_defender_blueset","main_weapon","mp_weapon_defender","optic_ranged_aog_variable stock_sniper_l2","sight grip","sniper blueset",2,"PING_WEAPON_DEFENDER","","","",0,"","survival_loot_pickup_weapon_dmr","survival_loot_pickup_3p_weapon_dmr","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_defender_purpleset","main_weapon","mp_weapon_defender","optic_ranged_aog_variable stock_sniper_l3","sight grip","sniper purpleset",3,"PING_WEAPON_DEFENDER","","","",0,"","survival_loot_pickup_weapon_dmr","survival_loot_pickup_3p_weapon_dmr","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_defender_gold","main_weapon","mp_weapon_defender","optic_sniper_threat stock_sniper_l3 sniper_mag_l4 gold","sight mag grip","sniper",4,"PING_WEAPON_DEFENDER","","","",0,"","survival_loot_pickup_weapon_dmr","survival_loot_pickup_3p_weapon_dmr","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_lmg","main_weapon","","","sight grip mag barrel","lmg",1,"PING_WEAPON_SPITFIRE","","","",0,"","survival_loot_pickup_weapon_lmg","survival_loot_pickup_3p_weapon_lmg","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_lmg_whiteset","main_weapon","mp_weapon_lmg","optic_cq_hcog_classic  stock_tactical_l1 bullets_mag_l1","sight grip mag","lmg whiteset",1,"PING_WEAPON_SPITFIRE","","","",0,"","survival_loot_pickup_weapon_lmg","survival_loot_pickup_3p_weapon_lmg","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_lmg_blueset","main_weapon","mp_weapon_lmg","optic_cq_hcog_bruiser stock_tactical_l2 bullets_mag_l2","sight grip mag","lmg blueset",2,"PING_WEAPON_SPITFIRE","","","",0,"","survival_loot_pickup_weapon_lmg","survival_loot_pickup_3p_weapon_lmg","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_lmg_purpleset","main_weapon","mp_weapon_lmg","optic_cq_hcog_bruiser stock_tactical_l3 bullets_mag_l3","sight grip mag","lmg purpleset",3,"PING_WEAPON_SPITFIRE","","","",0,"","survival_loot_pickup_weapon_lmg","survival_loot_pickup_3p_weapon_lmg","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_lmg_gold","main_weapon","mp_weapon_lmg","optic_cq_hcog_bruiser bullets_mag_l4 stock_tactical_l3 gold barrel_stabilizer_l3","sight grip mag barrel","lmg",4,"PING_WEAPON_SPITFIRE","","","",0,"","survival_loot_pickup_weapon_lmg","survival_loot_pickup_3p_weapon_lmg","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_rspn101","main_weapon","","","sight mag barrel grip","assault",1,"PING_WEAPON_R201","","","",0,"","survival_loot_pickup_weapon_rspn101","survival_loot_pickup_3p_weapon_rspn101","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_rspn101_whiteset","main_weapon","mp_weapon_rspn101","optic_cq_hcog_classic bullets_mag_l1 barrel_stabilizer_l1 stock_tactical_l1","sight mag barrel grip","assault whiteset",1,"PING_WEAPON_R201","","","",0,"","survival_loot_pickup_weapon_rspn101","survival_loot_pickup_3p_weapon_rspn101","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_rspn101_blueset","main_weapon","mp_weapon_rspn101","optic_cq_hcog_bruiser bullets_mag_l2 barrel_stabilizer_l2 stock_tactical_l2","sight mag barrel grip","assault blueset",2,"PING_WEAPON_R201","","","",0,"","survival_loot_pickup_weapon_rspn101","survival_loot_pickup_3p_weapon_rspn101","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_rspn101_purpleset","main_weapon","mp_weapon_rspn101","optic_cq_hcog_bruiser bullets_mag_l3 barrel_stabilizer_l3 stock_tactical_l3","sight mag barrel grip","assault purpleset",3,"PING_WEAPON_R201","","","",0,"","survival_loot_pickup_weapon_rspn101","survival_loot_pickup_3p_weapon_rspn101","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_rspn101_gold","main_weapon","mp_weapon_rspn101","optic_cq_hcog_bruiser bullets_mag_l4 barrel_stabilizer_l3 stock_tactical_l3 gold","sight mag barrel grip","assault",4,"PING_WEAPON_R201","","","",0,"","survival_loot_pickup_weapon_rspn101","survival_loot_pickup_3p_weapon_rspn101","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_shotgun","main_weapon","","","sight mag grip","shotgun",1,"PING_WEAPON_EVA","","","",0,"","survival_loot_pickup_weapon_shotgun","survival_loot_pickup_3p_weapon_shotgun","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_shotgun_gold","main_weapon","mp_weapon_shotgun","optic_cq_threat shotgun_bolt_l4 stock_tactical_l3 gold","sight mag grip","shotgun",4,"PING_WEAPON_EVA","","","",0,"","survival_loot_pickup_weapon_shotgun","survival_loot_pickup_3p_weapon_shotgun","","","",1,1,"","",0,0,20,0,0,0,0
"","mp_weapon_shotgun_whiteset","main_weapon","mp_weapon_shotgun","shotgun_bolt_l1 stock_tactical_l1","sight mag grip","shotgun whiteset",1,"PING_WEAPON_EVA","","","",0,"","survival_loot_pickup_weapon_shotgun","survival_loot_pickup_3p_weapon_shotgun","","","",1,1,"","",0,0,20,0,0,0,0
